id,starttime,step1,step2,step3,step4,step5
0,20,1,1,1,1,1
1,20,1,1,1,1,1
2,20,1,1,1,1,1
3,20,1,1,1,1,1
4,20,1,1,1,1,1
5,20,1,1,1,1,1
6,20,1,1,1,1,1
7,20,1,1,1,1,1
8,20,1,1,1,1,1
9,20,1,1,1,1,1
10,20,1,1,1,1,1
11,20,1,1,1,1,1
12,20,1,1,1,1,1
13,20,1,1,1,1,1
14,20,1,1,1,1,1
15,20,1,1,1,1,1
16,20,1,1,1,1,1
17,20,1,1,1,1,1
18,20,1,1,1,1,1
19,20,1,1,1,1,1
20,20,1,1,1,1,1
21,20,1,1,1,1,1
22,20,1,1,1,1,1
23,20,1,1,1,1,1
24,20,1,1,1,1,1
25,20,1,1,1,1,1
26,20,1,1,1,1,1
27,20,1,1,1,1,1
28,20,1,1,1,1,1
29,20,1,1,1,1,1
30,20,1,1,1,1,1
31,20,1,1,1,1,1
32,20,1,1,1,1,1
33,20,1,1,1,1,1
34,20,1,1,1,1,1
35,20,1,1,1,1,1
36,20,1,1,1,1,1
37,20,1,1,1,1,1
38,20,1,1,1,1,1
39,20,1,1,1,1,1
40,20,1,1,1,1,1
41,20,1,1,1,1,1
42,20,1,1,1,1,1
43,20,1,1,1,1,1
44,20,1,1,1,1,1
45,20,1,1,1,1,1
46,20,1,1,1,1,1
47,20,1,1,1,1,1
48,20,1,1,1,1,1
49,20,1,1,1,1,1
50,20,1,1,1,1,1
51,20,1,1,1,1,1
52,20,1,1,1,1,1
53,20,1,1,1,1,1
54,20,1,1,1,1,1
55,20,1,1,1,1,1
56,20,1,1,1,1,1
57,20,1,1,1,1,1
58,20,1,1,1,1,1
59,20,1,1,1,1,1
60,20,1,1,1,1,1
61,20,1,1,1,1,1
62,20,1,1,1,1,1
63,20,1,1,1,1,1
64,20,1,1,1,1,1
65,20,1,1,1,1,1
66,20,1,1,1,1,1
67,20,1,1,1,1,1
68,20,1,1,1,1,1
69,20,1,1,1,1,1
70,20,1,1,1,1,1
71,20,1,1,1,1,1
72,20,1,1,1,1,1
73,20,1,1,1,1,1
74,20,1,1,1,1,1
75,20,1,1,1,1,1
76,20,1,1,1,1,1
77,20,1,1,1,1,1
78,20,1,1,1,1,1
79,20,1,1,1,1,1
80,20,1,1,1,1,1
81,20,1,1,1,1,1
82,20,1,1,1,1,1
83,20,1,1,1,1,1
84,20,1,1,1,1,1
85,20,1,1,1,1,1
86,20,1,1,1,1,1
87,20,1,1,1,1,1
88,20,1,1,1,1,1
89,20,1,1,1,1,1
90,20,1,1,1,1,1
91,20,1,1,1,1,1
92,20,1,1,1,1,1
93,20,1,1,1,1,1
94,20,1,1,1,1,1
95,20,1,1,1,1,1
96,20,1,1,1,1,1
97,20,1,1,1,1,1
98,20,1,1,1,1,1
99,20,1,1,1,1,1
