steps,productionVolume
0,"[5.0, 5.0, 5.0, 5.0, 5.0]"
1,"[5.0, 5.0, 5.0, 5.0, 5.0]"
2,"[5.0, 5.0, 5.0, 5.0, 5.0]"
3,"[5.0, 5.0, 5.0, 5.0, 5.0]"
4,"[5.0, 5.0, 5.0, 5.0, 5.0]"
5,"[5.0, 5.0, 5.0, 5.0, 5.0]"
6,"[5.0, 5.0, 5.0, 5.0, 5.0]"
7,"[5.0, 5.0, 5.0, 5.0, 5.0]"
8,"[5.0, 5.0, 5.0, 5.0, 5.0]"
9,"[5.0, 5.0, 5.0, 5.0, 5.0]"
10,"[5.0, 5.0, 5.0, 5.0, 5.0]"
11,"[5.0, 5.0, 5.0, 5.0, 5.0]"
12,"[5.0, 5.0, 5.0, 5.0, 5.0]"
13,"[5.0, 5.0, 5.0, 5.0, 5.0]"
14,"[5.0, 5.0, 5.0, 5.0, 5.0]"
15,"[5.0, 5.0, 5.0, 5.0, 5.0]"
16,"[5.0, 5.0, 5.0, 5.0, 5.0]"
17,"[5.0, 5.0, 5.0, 5.0, 5.0]"
18,"[5.0, 5.0, 5.0, 5.0, 5.0]"
19,"[5.0, 5.0, 5.0, 5.0, 5.0]"
20,"[5.0, 5.0, 5.0, 5.0, 5.0]"
21,"[5.0, 5.0, 5.0, 5.0, 5.0]"
22,"[5.0, 5.0, 5.0, 5.0, 5.0]"
23,"[5.0, 5.0, 5.0, 5.0, 5.0]"
24,"[5.0, 5.0, 5.0, 5.0, 5.0]"
25,"[5.0, 5.0, 5.0, 5.0, 5.0]"
26,"[5.0, 5.0, 5.0, 5.0, 5.0]"
27,"[5.0, 5.0, 5.0, 5.0, 5.0]"
28,"[5.0, 5.0, 5.0, 5.0, 5.0]"
29,"[5.0, 5.0, 5.0, 5.0, 5.0]"
30,"[5.0, 5.0, 5.0, 5.0, 5.0]"
31,"[5.0, 5.0, 5.0, 5.0, 5.0]"
32,"[5.0, 5.0, 5.0, 5.0, 5.0]"
33,"[5.0, 5.0, 5.0, 5.0, 5.0]"
34,"[5.0, 5.0, 5.0, 5.0, 5.0]"
35,"[5.0, 5.0, 5.0, 5.0, 5.0]"
36,"[5.0, 5.0, 5.0, 5.0, 5.0]"
37,"[5.0, 5.0, 5.0, 5.0, 5.0]"
38,"[5.0, nan, 5.0, 5.0, 5.0]"
39,"[5.0, nan, 5.0, 5.0, 5.0]"
40,"[5.0, nan, 5.0, 5.0, 5.0]"
41,"[5.0, nan, 5.0, 5.0, 5.0]"
42,"[5.0, nan, 5.0, 5.0, 5.0]"
43,"[5.0, nan, 5.0, 5.0, 5.0]"
44,"[nan, nan, 5.0, 5.0, 5.0]"
45,"[nan, nan, 5.0, 5.0, 5.0]"
46,"[nan, nan, 5.0, 5.0, 5.0]"
47,"[nan, nan, 5.0, 5.0, 5.0]"
48,"[nan, nan, 5.0, 5.0, 5.0]"
49,"[nan, nan, 5.0, 5.0, 5.0]"
50,"[nan, nan, 5.0, 5.0, nan]"
51,"[nan, nan, 5.0, 5.0, nan]"
52,"[nan, nan, 5.0, 5.0, nan]"
53,"[nan, nan, 5.0, 5.0, nan]"
54,"[nan, nan, 5.0, nan, nan]"
55,"[nan, nan, 5.0, nan, nan]"
56,"[nan, nan, 5.0, nan, nan]"
57,"[nan, nan, 5.0, nan, nan]"
58,"[nan, nan, 5.0, nan, nan]"
59,"[nan, nan, 5.0, nan, nan]"
60,"[nan, nan, 5.0, nan, nan]"
61,"[nan, nan, 5.0, nan, nan]"
62,"[nan, nan, 5.0, nan, nan]"
63,"[nan, nan, 5.0, nan, nan]"
64,"[nan, nan, 5.0, nan, nan]"
65,"[nan, nan, 5.0, nan, nan]"
66,"[nan, nan, 5.0, nan, nan]"
67,"[nan, nan, 5.0, nan, nan]"
68,"[nan, nan, 5.0, nan, nan]"
69,"[nan, nan, 5.0, nan, nan]"
70,"[nan, nan, 5.0, nan, nan]"
71,"[nan, nan, 5.0, nan, nan]"
72,"[nan, nan, 5.0, nan, nan]"
73,"[nan, nan, 5.0, nan, nan]"
74,"[nan, nan, 5.0, nan, nan]"
75,"[nan, nan, nan, nan, nan]"
76,"[nan, nan, nan, nan, nan]"
77,"[nan, nan, nan, nan, nan]"
78,"[nan, nan, nan, nan, nan]"
79,"[nan, nan, nan, nan, nan]"
